epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,127.812,0.97031,0.82639,0.87692,0.99967,0.93346,0.95202,0.72374,0.76565,0.55763,0.84297,0.0011719,0.0011719,0.0011719
152,128.682,0.89682,0.73836,0.93103,0.97724,0.91988,0.94993,0.72158,0.75976,0.53395,0.8429,0.0011686,0.0011686,0.0011686
153,129.498,0.93402,0.70676,0.92699,0.97724,0.91988,0.94993,0.72158,0.75976,0.53395,0.8429,0.0011653,0.0011653,0.0011653
154,130.303,0.87041,0.80981,0.8974,0.99227,0.91466,0.95081,0.72923,0.77625,0.55007,0.85107,0.001162,0.001162,0.001162
155,131.11,0.8712,0.68809,0.88399,0.99227,0.91466,0.95081,0.72923,0.77625,0.55007,0.85107,0.0011587,0.0011587,0.0011587
156,131.957,0.77129,0.6067,0.86612,0.98138,0.91775,0.95189,0.70472,0.7915,0.57445,0.8443,0.0011554,0.0011554,0.0011554
157,132.784,0.82211,0.73706,0.9108,0.98138,0.91775,0.95189,0.70472,0.7915,0.57445,0.8443,0.0011521,0.0011521,0.0011521
158,133.621,0.8082,0.70097,0.89484,0.96217,0.91156,0.95019,0.69793,0.82509,0.59899,0.85077,0.0011488,0.0011488,0.0011488
159,134.445,0.92027,0.77741,0.91632,0.96217,0.91156,0.95019,0.69793,0.82509,0.59899,0.85077,0.0011455,0.0011455,0.0011455
160,135.314,0.91764,0.67594,0.91454,0.96898,0.92276,0.95208,0.69529,0.79594,0.58381,0.85069,0.0011422,0.0011422,0.0011422
161,136.131,0.83013,0.65914,0.91963,0.96898,0.92276,0.95208,0.69529,0.79594,0.58381,0.85069,0.00113889,0.00113889,0.00113889
162,137,0.88486,0.72198,0.90977,0.97143,0.93402,0.9518,0.70774,0.756,0.56011,0.83878,0.00113559,0.00113559,0.00113559
163,137.796,0.82606,0.71136,0.93987,0.97143,0.93402,0.9518,0.70774,0.756,0.56011,0.83878,0.00113229,0.00113229,0.00113229
164,138.612,0.94882,0.72989,0.91523,0.96531,0.91991,0.95153,0.688,0.79419,0.55572,0.8502,0.00112899,0.00112899,0.00112899
165,139.411,0.91723,0.7193,0.96756,0.96531,0.91991,0.95153,0.688,0.79419,0.55572,0.8502,0.00112569,0.00112569,0.00112569
166,140.234,0.85014,0.64596,0.90633,0.93417,0.90068,0.93232,0.69103,0.80383,0.55276,0.85579,0.00112239,0.00112239,0.00112239
167,141.05,0.72839,0.63338,0.89,0.93417,0.90068,0.93232,0.69103,0.80383,0.55276,0.85579,0.00111909,0.00111909,0.00111909
168,141.916,0.80831,0.638,0.86926,0.91632,0.89255,0.91867,0.69186,0.81685,0.57031,0.86182,0.00111579,0.00111579,0.00111579
169,142.714,0.86822,0.63996,0.91588,0.91632,0.89255,0.91867,0.69186,0.81685,0.57031,0.86182,0.00111249,0.00111249,0.00111249
170,143.576,0.92924,0.76716,0.88054,0.94939,0.91303,0.94087,0.69749,0.79532,0.56264,0.85578,0.00110919,0.00110919,0.00110919
171,144.36,0.84973,0.65422,0.91434,0.94939,0.91303,0.94087,0.69749,0.79532,0.56264,0.85578,0.00110589,0.00110589,0.00110589
172,145.2,0.80719,0.64081,0.90572,0.96378,0.92292,0.94203,0.68147,0.87653,0.5683,0.87045,0.00110259,0.00110259,0.00110259
173,145.976,0.92044,0.69716,0.93946,0.96378,0.92292,0.94203,0.68147,0.87653,0.5683,0.87045,0.00109929,0.00109929,0.00109929
174,146.814,0.94703,0.70847,0.90956,0.97061,0.91096,0.94099,0.66341,0.89386,0.56416,0.87668,0.00109599,0.00109599,0.00109599
175,147.633,0.87927,0.69041,0.86025,0.97061,0.91096,0.94099,0.66341,0.89386,0.56416,0.87668,0.00109269,0.00109269,0.00109269
176,148.457,0.80542,0.64048,0.92846,0.99806,0.90733,0.94324,0.67239,0.87519,0.5591,0.87046,0.00108938,0.00108938,0.00108938
177,149.254,0.80709,0.63508,0.87667,0.99806,0.90733,0.94324,0.67239,0.87519,0.5591,0.87046,0.00108608,0.00108608,0.00108608
178,150.127,0.82749,0.64906,0.89589,0.98312,0.9085,0.94185,0.68055,0.84926,0.55445,0.86022,0.00108278,0.00108278,0.00108278
